_id,confidence,doi,names,raw_units,raw_value,sentence,specifier,units,value
58,0.7026132009110784,https://doi.org/10.1016/B0-08-043152-6/00468-X,URu2Si2,K,8.8,"The values of TN and Tc are , respectively , 8.8 K and 0.85 K in UBe13 , 17.5 K and 0.8 K in URu2Si2 , 4.6 K and 1 K in UNi2Al3 ( Geibel et al . 1991b ) , and 14 K and 2 K in UPd2Al3 ( Geibel et al . 1991a ) .",Tc,Kelvin^(1.0),8.8
59,0.7026132009110784,https://doi.org/10.1016/B0-08-043152-6/00468-X,URu2Si2,K,0.85,"The values of TN and Tc are , respectively , 8.8 K and 0.85 K in UBe13 , 17.5 K and 0.8 K in URu2Si2 , 4.6 K and 1 K in UNi2Al3 ( Geibel et al . 1991b ) , and 14 K and 2 K in UPd2Al3 ( Geibel et al . 1991a ) .",Tc,Kelvin^(1.0),0.85
60,0.5630942376029834,https://doi.org/10.1016/B0-08-043152-6/00468-X,CeAl2,K,3.85,"At low temperatures , CeAl2 becomes antiferromagnetic at TN = 3.85 K and the magnetic resistivity drops rapidly below TN .",TN,Kelvin^(1.0),3.85
61,0.5227206927421099,https://doi.org/10.1016/B0-08-043152-6/00468-X,"U(Pt1−x Pdx)3, U(Pt1−xPdx)3",K,6,"A real long - range antiferromagnetic ordering occurs when the concentration , x , increases in alloys U ( Pt1−xPdx ) 3 and the Néel temperature is equal to 6 K for x = 0.05 , as given in Table 1 .",Néel temperature,Kelvin^(1.0),6
62,0.6817913331207315,https://doi.org/10.1016/B0-08-043152-6/00468-X,URu2Si2,K,8.8,"The values of TN and Tc are , respectively , 8.8 K and 0.85 K in UBe13 , 17.5 K and 0.8 K in URu2Si2 , 4.6 K and 1 K in UNi2Al3 ( Geibel et al . 1991b ) , and 14 K and 2 K in UPd2Al3 ( Geibel et al . 1991a ) .",TN,Kelvin^(1.0),8.8
63,0.6817913331207315,https://doi.org/10.1016/B0-08-043152-6/00468-X,URu2Si2,K,0.85,"The values of TN and Tc are , respectively , 8.8 K and 0.85 K in UBe13 , 17.5 K and 0.8 K in URu2Si2 , 4.6 K and 1 K in UNi2Al3 ( Geibel et al . 1991b ) , and 14 K and 2 K in UPd2Al3 ( Geibel et al . 1991a ) .",TN,Kelvin^(1.0),0.85
64,0.6691338634578333,https://doi.org/10.1016/B0-12-369401-9/00481-2,lanthanum–barium–copper,K,35,"In 1986 , an oxide superconductor of the lanthanum – barium – copper system was first announced by Bednorz and Muller of the IBM Zurich Research Institute and its critical temperature Tc was 35 K , which exceeded the historical Tc 23 K of the NbGe .",Tc,Kelvin^(1.0),35
65,0.6080445219774402,https://doi.org/10.1016/B0-12-369401-9/00481-2,C60,K,18,"A F Hebard and others have reported that the powder of C60 with doped potassium ( K3 C60 ) shows a superconducting nature at a critical temperature of Tc = 18 K , and the same thin film of K3 C60 shows the superconducting nature at a critical temperature of Tc = 16 K . MgB2 has recently been reported to become superconducting at 39 K ( for further details , see section “ Further reading ” ) .",Tc,Kelvin^(1.0),18
66,0.6080445219774402,https://doi.org/10.1016/B0-12-369401-9/00481-2,C60,K,16,"A F Hebard and others have reported that the powder of C60 with doped potassium ( K3 C60 ) shows a superconducting nature at a critical temperature of Tc = 18 K , and the same thin film of K3 C60 shows the superconducting nature at a critical temperature of Tc = 16 K . MgB2 has recently been reported to become superconducting at 39 K ( for further details , see section “ Further reading ” ) .",Tc,Kelvin^(1.0),16
67,0.6282933506177035,https://doi.org/10.1016/B0-12-369401-9/00529-5,CeRhIns,K,2.1,A pressure of 16 kbar drives CeRhIns superconducting with a maximum Tc of 2.1 K .,Tc,Kelvin^(1.0),2.1
